Date,PROPHET Model,ETS Model,ARIMA Model
2021-12-01,705357.6186046607,690696.6163234512,703713.259789429
2021-12-02,710788.3445404575,696233.3880319779,700776.6361817155
2021-12-03,712219.8988058334,701768.9677767106,683903.1610214907
2021-12-04,676716.9634568079,665575.9170214434,675621.7418335631
2021-12-05,645209.9526233803,632043.8301679138,689129.3518844969
2021-12-06,692500.1446073572,676376.3387266522,697300.1794547113
2021-12-07,706796.0888850131,689455.5608595099,699418.5991817244
2021-12-08,707684.716771884,690696.6163234512,702609.5120810564
2021-12-09,713115.4427076788,696233.3880319779,713833.0219734387
2021-12-10,714546.9969730072,701768.9677767106,708637.9495325183
2021-12-11,679044.061624142,665575.9170214434,699492.1916299113
2021-12-12,647537.0507905367,632043.8301679138,708664.4091739969
2021-12-13,694827.2427745919,676376.3387266522,710592.5887093984
2021-12-14,709123.187052196,689455.5608595099,706860.3441879081
2021-12-15,710011.8149390714,690696.6163234512,706474.7869572236
