Date,PROPHET Model,ETS Model,ARIMA Model
2021-12-01,682117.4817631901,702742.4182013978,676832.4204698384
2021-12-02,687625.2650492103,702742.4182013978,676035.8619504602
2021-12-03,682909.0539450163,702742.4182013978,675240.2405365742
2021-12-04,636478.6780600318,702742.4182013978,674445.555442282
2021-12-05,616263.7540339285,702742.4182013978,673651.8056020923
2021-12-06,667993.7329319415,702742.4182013978,672858.9899195031
2021-12-07,672666.7579215883,702742.4182013978,672067.1072955937
2021-12-08,671109.1811086201,702742.4182013978,671276.1566323098
2021-12-09,676616.9643945864,702742.4182013978,670486.1368328402
2021-12-10,671900.7532904828,702742.4182013978,669697.0468016586
2021-12-11,625470.3774054187,702742.4182013978,668908.8854445295
2021-12-12,605255.4533794483,702742.4182013978,668121.6516685026
2021-12-13,656985.432277088,702742.4182013978,667335.3443819153
2021-12-14,661658.4572671026,702742.4182013978,666549.9624943886
2021-12-15,660100.8804539564,702742.4182013978,665765.504916827
