UTC time,D,Hora
2015-07-01 08:00:00,38210.0,8
2015-07-01 09:00:00,35171.0,9
2015-07-01 10:00:00,33243.0,10
2015-07-01 11:00:00,31955.0,11
2015-07-01 12:00:00,31199.0,12
2015-07-01 13:00:00,31540.0,13
2015-07-01 14:00:00,32551.0,14
2015-07-01 15:00:00,34483.0,15
2015-07-01 16:00:00,37003.0,16
2015-07-01 17:00:00,39274.0,17
2015-07-01 18:00:00,41265.0,18
2015-07-01 19:00:00,43042.0,19
2015-07-01 20:00:00,44869.0,20
2015-07-01 21:00:00,46173.0,21
2015-07-01 22:00:00,47600.0,22
2015-07-01 23:00:00,48083.0,23
2015-07-02 00:00:00,48300.0,0
2015-07-02 01:00:00,48136.0,1
2015-07-02 02:00:00,47343.0,2
2015-07-02 03:00:00,46165.0,3
2015-07-02 04:00:00,45380.0,4
2015-07-02 05:00:00,44996.0,5
2015-07-02 06:00:00,43173.0,6
2015-07-02 07:00:00,39545.0,7
2015-07-02 08:00:00,36073.0,8
2015-07-02 09:00:00,33603.0,9
2015-07-02 10:00:00,31746.0,10
2015-07-02 11:00:00,30618.0,11
2015-07-02 12:00:00,30157.0,12
2015-07-02 13:00:00,30920.0,13
2015-07-02 14:00:00,32074.0,14
2015-07-02 15:00:00,34150.0,15
2015-07-02 16:00:00,36828.0,16
2015-07-02 17:00:00,38982.0,17
2015-07-02 18:00:00,40598.0,18
2015-07-02 19:00:00,42187.0,19
2015-07-02 20:00:00,43556.0,20
2015-07-02 21:00:00,45060.0,21
2015-07-02 22:00:00,46767.0,22
2015-07-02 23:00:00,48086.0,23
2015-07-03 00:00:00,49005.0,0
2015-07-03 01:00:00,36245.0,1
2015-07-03 02:00:00,37137.0,2
2015-07-03 03:00:00,46540.0,3
2015-07-03 04:00:00,44693.0,4
2015-07-03 05:00:00,43601.0,5
2015-07-03 06:00:00,41628.0,6
2015-07-03 07:00:00,38382.0,7
2015-07-03 08:00:00,35140.0,8
2015-07-03 09:00:00,32616.0,9
2015-07-03 10:00:00,30689.0,10
2015-07-03 11:00:00,29373.0,11
